 Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,1886,9,1,2,51,0,2360,,SOUTH CAROLINA:  CHARLESTON,32.9,-80,,7.3,10,60,2,,,,,5,2,,,,,60,2,,,,,6,3,,,,
,1906,4,18,13,12,21,1333,,CALIFORNIA:  SAN FRANCISCO,37.67,-122.48,20,7.9,11,700,3,,,,,400,4,28188,4,,,,,,,,,,,,,,
,1925,6,29,14,42,26.2,,,CALIFORNIA:  SANTA BARBARA,34.418,-120.196,10,6.8,9,13,1,,,,,8,3,,3,,,13,1,,,,,8,3,,3,,
,1927,1,1,8,16,0,1575,,"CALIFORNIA, MEXICO",32.5,-115.5,,5.8,,,,,,,1,1,2,,1,20,1,1,1,,,,1,3,2,,1,20,1
,1933,3,11,1,54,7.8,1662,,CALIFORNIA:  LONG BEACH,33.62,-117.97,16,6.3,9,120,3,,,,,41,4,,,,,120,3,,,,,41,4,,,,
,1935,10,19,4,48,2,,,MONTANA:  HELENA,46.6,-112,,6.2,8,2,1,,,,3,19,3,300,3,,,2,1,,,,3,19,3,300,3,,
,1935,10,31,18,37,47,,,MONTANA:  HELENA,46.6,-112,,6,8,2,1,,,,,6,3,,,,,2,1,,,,,6,3,,,,
,1940,5,19,4,36,40.9,,,CALIFORNIA; MEXICO,32.733,-115.5,16,7.2,10,9,1,,,,,33,4,,,,,9,1,,,,,33,4,,,,
,1944,9,5,4,38,45.7,,,NEW YORK:  MASSENA,44.957,-74.723,12,5.6,8,,,,,,,2,2,,,,,,,,,,,2,2,,,,
,1949,4,13,19,55,42,1790,,WASHINGTON,47.167,-122.617,,7,8,8,1,,,,,25,4,,,,,8,1,,,,,25,4,,,,
,1952,7,21,11,52,14,,,CALIFORNIA:  KERN COUNTY,35,-119.017,16,7.7,11,12,1,,,,3,60,4,,3,,2,12,1,,,,3,60,4,,3,,2
,1952,8,22,22,41,24,,,CALIFORNIA:  KERN COUNTY,35.333,-118.917,16,5.8,8,2,1,,,,2,10,3,90,2,,,2,1,,,,,10,3,90,2,,
,1954,2,5,15,17,0,,,MEXICO:  CHIAPAS,17.3,-92.6,100,6.2,,6,1,,,,,17,3,,,,,,,,,,,,,,,,
,1957,7,28,8,40,1,1870,,"MEXICO:  ACAPULCO,MEXICO CITY",16.5,-99.1,25,7.9,7,65,2,,,,3,25,4,,3,,,65,2,,,,3,25,4,,3,,
,1959,8,18,6,37,13.5,2371,,MONTANA:  HEBGEN LAKE,44.712,-111.215,5,7.7,10,28,1,,,,,11,3,,,,2,28,1,,,,,11,3,,,,2
,1962,8,30,13,35,28.7,,,UTAH,41.8,-111.8,37,5.8,7,,,,,,,1,2,,,,2,,,,,,,1,2,,,,2
,1964,3,28,3,36,0,1954,,ALASKA,61.017,-147.648,33,9.2,10,15,1,,,,,284,4,,3,,,139,3,,,,,400,4,,3,,
,1965,4,29,15,28,43.7,,,WASHINGTON:  SEATTLE,47.4,-122.3,59,6.6,8,7,1,,,,,28,4,,,,,7,1,,,,,28,4,,,,
,1968,8,2,14,6,0,,,"MEXICO:  OAXACA, GUERRERO",16.5,-97.8,36,7.5,7,18,1,,,,,2.4,2,,,,,,,,,,,,,,,,
,1969,10,2,4,56,46.5,,,CALIFORNIA:  SANTA ROSA,38.467,-122.692,10,4.8,8,1,1,,,,,8.35,3,,,,,1,1,,,,,8.35,3,,,,
,1971,2,9,14,0,41.8,,,CALIFORNIA:  SAN FERNANDO,34.412,-118.4,8,6.5,11,65,2,,,2000,4,505,4,,,,,65,2,,,2000,4,505,4,,,,
,1973,2,21,14,45,57.3,,,CALIFORNIA:  OXNARD,34.1,-119,8,5.7,7,,,,,,,1,2,,,,,,,,,,,,,,,,
,1973,4,26,20,26,28.6,,,HAWAII: HILO,19.936,-155.098,48,6.5,8,,,,,11,1,5.75,3,,,,,,,,,11,1,5.75,3,,,,
,1975,3,28,2,31,5.7,,,IDAHO:  POCATELLO VALLEY,42.06,-112.55,5,6,8,,,,,1,1,1,2,,,520,3,,,,,1,1,1,2,,,520,3
,1975,8,1,20,20,12.9,,,CALIFORNIA:  OROVILLE,39.439,-121.528,15,5.6,8,,,,,10,1,3,2,,,,,,,,,10,1,3,2,,,,
,1975,11,29,14,47,40.9,2080,3407,HAWAII,19.451,-155.033,2,7.7,9,,,,,,,4,2,,,,,2,1,,,,,4,2,,3,,
,1978,8,13,22,54,53.5,,,CALIFORNIA:  SOUTHERN,34.35,-119.7,7,5.6,7,,,,,65,2,15,3,,,,,,,,,,,,,,,,
,1979,3,14,11,7,16.3,2112,,MEXICO:  GUERRERO,17.813,-101.276,49,7.6,,5,1,,,35,1,30,4,200,3,,,5,1,,,35,1,30,4,200,3,,
,1979,10,15,23,16,54.1,,,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,10,6.9,9,,,,,91,2,30,4,,,,,,,,,,,,,,,,
,1980,1,24,19,0,9.5,,,CALIFORNIA:  LIVERMORE,37.855,-121.816,11,5.9,7,,,,,50,1,11.5,3,,,,,,,,,50,1,11.5,3,,,,
